mode,en,rep,term,ko,grade,level,followed_decoy,decoy,issues,finish,sentence
none,prolonged latent phase,지연된 잠복기,지연된 잠복기,이 보고서는 이 환자에서 지연된 잠복기를 기록했다.,정답(대표),exact,,,[],stop,The report documented prolonged latent phase in this patient.
none,corynebacterium pseudotuberculosis,거짓결핵균,코리네박테리움 슈도투베르쿨로시스,의사의 문서에 코리네박테리움 슈도투베르쿨로시스가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned corynebacterium pseudotuberculosis.
none,gonadoadvent,생식기능출현기,gonadoadvent,의사의 문서에서는 gonadoadvent를 언급했습니다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned gonadoadvent.
none,neck righting reflex,목바로잡기반사,목 바로잡기 반사,의사의 문서에 목 바로잡기 반사가 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned neck righting reflex.
none,peritomy,윤부결막절개(술),각막절개,의사의 문서에 각막절개가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned peritomy.
none,haematosalpinx,혈난관,혈관팽대,보고서는 이 환자에게 혈관팽대가 있음을 문서화했습니다.,오답,-,,,[],stop,The report documented haematosalpinx in this patient.
none,stomatomy,자궁구절개(술),구강절개술,의사의 문서에 구강절개술이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned stomatomy.
none,oncofetal,종양태아-,온코페탈,의사의 문서에 온코페탈이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned oncofetal.
none,removal of restoration,기존 보철물 제거,수복물 제거,이 보고서는 이 환자에서 수복물 제거를 문서화했다.,오답,-,,,[],stop,The report documented removal of restoration in this patient.
none,hypothalamic-pituitary-adrenal axis,시상하부-뇌하수체-부신축,시상하부-뇌하수체-부신 축,의사의 문서에 시상하부-뇌하수체-부신 축이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned hypothalamic-pituitary-adrenal axis.
none,late post-traumatic seizures,외상후 지연 발작,외상 후 지발 간질,의사의 문서에 외상 후 지발 간질이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned late post-traumatic seizures.
none,acne keloidalis,흉터종여드름,켈로이드성 여드름,의사의 문서에 켈로이드성 여드름이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned acne keloidalis.
none,direct coombs test,직접쿰즈검사,다이렉트 쿰스 테스트,의사의 문서에 다이렉트 쿰스 테스트가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned direct coombs test.
none,sequestrectomy of skull,머리뼈 부골 절제,두개골 골괴사 제거술,보고서는 이 환자에서 두개골 골괴사 제거술을 기록하였다.,오답,-,,,[],stop,The report documented sequestrectomy of skull in this patient.
none,periodic rhinitis,주기코염,주기성 비염,의사의 문서에는 주기성 비염이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned periodic rhinitis.
none,vesicorectal fistula,방광직장루,방광직장루,이 보고서는 이 환자에서 방광직장루를 기록했습니다.,정답(대표),exact,,,[],stop,The report documented vesicorectal fistula in this patient.
none,schistasis,갈림증,이석증,의사의 문서에 이석증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned schistasis.
none,oxidizing color,산화염료,산화 색상,의사의 문서는 산화 색상을 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned oxidizing color.
none,microincision,미세절개,미세절개,의사의 문서에 미세절개가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned microincision.
none,rosacea,주사,주사,보고서에는 이 환자에게서 주사가 발생한 것으로 기록되어 있습니다.,정답(대표),exact,,,[],stop,The report documented rosacea in this patient.
none,coalescent mastoiditis,융합꼭지돌기염,융합성 유양돌기염,이 환자의 보고서는 융합성 유양돌기염을 기록했다.,오답,-,,,[],stop,The report documented coalescent mastoiditis in this patient.
none,intraocular,안구내-,안내,의사의 문서에 안내가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned intraocular.
none,laceration of back,등 열상,등의 열상,보고서는 이 환자에게서 등의 열상을 기록했다.,오답,-,,,[],stop,The report documented laceration of back in this patient.
none,colpocystocele,질방광탈출(증),질방광탈,의사의 문서에 질방광탈이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned colpocystocele.
none,protrusive position,전방위,전방위,의사의 문서에 전방위가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned protrusive position.
none,grafting,이식,접목,의사의 문서에 접목이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned grafting.
none,dislocation of midcarpal(joint),중간수근골(관절)의 탈구,중수근관절(중수근) 탈구,이 환자에게 중수근관절(중수근) 탈구가 발생한 것으로 보고서에 기록되었다.,오답,-,,,['bad_chars'],stop,The report documented dislocation of midcarpal(joint) in this patient.
none,fecal concentration,대변농축(법),대변 농도,의사의 문서에 대변 농도가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned fecal concentration.
none,recession operation,뒤옮김술,후퇴 수술,의사의 문서에 후퇴 수술이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned recession operation.
none,ebonation,뼈조각제거,에보네이션,의사의 문서에 에보네이션이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned ebonation.
none,zosteriform lentiginous nevus,띠모양흑(색)점모반,대상포진모양 점세포 모반,의사의 문서는 대상포진모양 점세포 모반을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned zosteriform lentiginous nevus.
none,supraduodenal artery,샘창자위동맥,상십이지장동맥,의사의 문서에 상십이지장동맥이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned supraduodenal artery.
none,thyroidea ima artery,맨아래갑상동맥,갑상샘하동맥,의사의 문서에 갑상샘하동맥이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned thyroidea ima artery.
none,cryptococcal meningocerebritis,크립토콕쿠스수막대뇌염,크립토코커스 뇌수막뇌염,보고서는 이 환자에게 크립토코커스 뇌수막뇌염이 있음을 기록하였다.,오답,-,,,[],stop,The report documented cryptococcal meningocerebritis in this patient.
none,endothelial adhesion molecule,내피부착분자,내피 접착 분자,의사의 문서에 내피 접착 분자가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned endothelial adhesion molecule.
none,pleurothecal anastomosis,가슴막-척수막 연결,흉막초 문합,이 보고서는 이 환자에서 흉막초 문합을 기록하였다.,오답,-,,,[],stop,The report documented pleurothecal anastomosis in this patient.
none,polymyalgia rheumatica,류마티스성 다발근통,류마티성 다발성 근육통,이 보고서는 이 환자에게서 류마티성 다발성 근육통을 기록했습니다.,오답,-,,,[],stop,The report documented polymyalgia rheumatica in this patient.
none,voluntomotory,수의운동-,볼런토모토리,의사의 문서에 볼런토모토리가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned voluntomotory.
none,retention of urine,소변정체,요정체,이 환자에게 요정체가 있음이 보고서에 기록되었다.,오답,-,,,[],stop,The report documented retention of urine in this patient.
none,supporting spiritual rituals,영적의식 지지하기,영적 의식을 지원하는 것,의사의 문서는 영적 의식을 지원하는 것을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned supporting spiritual rituals.
none,epigastric artery,배벽동맥,복부동맥,의사의 문서에 복부동맥이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned epigastric artery.
none,source qi,원기,원기,의사의 문서에 원기가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned source qi.
none,polychromatophilic erythrocyte,다염적혈구,다염색성 적혈구,의사의 문서에는 다염색성 적혈구가 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned polychromatophilic erythrocyte.
none,endorectal pull-through operation,직장내 풀-스루식 수술,직장내 당김술,이 보고서는 이 환자에서 직장내 당김술을 기록했습니다.,오답,-,,,[],stop,The report documented endorectal pull-through operation in this patient.
none,defective interfering particle,결손간섭입자,결함 간섭 입자,의사의 문서에 결함 간섭 입자가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned defective interfering particle.
none,physics depth sensitivity,물리적깊이민감도,물리학적 깊이 민감도,의사의 문서에 물리학적 깊이 민감도가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned physics depth sensitivity.
none,dialysis adequacy,투석충분도,투석 적절성,의사의 문서에 투석 적절성이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned dialysis adequacy.
none,apneustic respiration,지속흡입호흡,무호흡 호흡,의사의 문서에 무호흡 호흡이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned apneustic respiration.
none,citrate,구연산,구연산,의사의 문서에 구연산이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned citrate.
none,forehead,전두,이마,의사의 문서에 이마가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned forehead.
none,extracoronal,치관외-,구장외,의사의 문서에서 구장외를 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned extracoronal.
none,mongoloid slant,몽골인 모양 눈,몽골인종 사면,의사의 문서에 몽골인종 사면이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned mongoloid slant.
none,altimeter sickness,고산병,고도계병,이 보고서는 이 환자에게서 고도계병을 기록했다.,오답,-,,,[],stop,The report documented altimeter sickness in this patient.
none,failed forceps,집게 사용 실패,실패한 겸자 사용,이 환자에서 실패한 겸자 사용이 보고되었습니다.,오답,-,,,[],stop,The report documented failed forceps in this patient.
none,trypanocidal,파동편모충박멸-,트리파노사이드,의사의 문서에 트리파노사이드가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned trypanocidal.
none,amphorophony,공동공명음,공명음,의사의 문서에 공명음이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned amphorophony.
none,pyroglyphidae,집먼지진드기(과),집먼지진드기과,의사의 문서에 집먼지진드기과가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned pyroglyphidae.
none,rhabdomyomyxoma,횡문근점액종,횡문근점액종,의사의 문서에 횡문근점액종이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned rhabdomyomyxoma.
none,cranial dermal sinus,뇌피부동,두개 피부 동공,이 보고서는 이 환자에서 두개 피부 동공을 기록했습니다.,오답,-,,,[],stop,The report documented cranial dermal sinus in this patient.
none,suprapubic prostatectomy,두덩뼈 위쪽 경유 전립샘 절제,치골상부 전립선 절제술,보고서는 이 환자에서 치골상부 전립선 절제술을 기록했습니다.,오답,-,,,[],stop,The report documented suprapubic prostatectomy in this patient.
none,platymorphia,편평안구,platymorphia,의사의 문서에 platymorphia가 언급되었습니다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned platymorphia.
none,cimex lectularius,빈대,침대벌레,의사의 문서에 침대벌레가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned cimex lectularius.
none,salbutamol,살부타몰,살부타몰,의사의 문서에 살부타몰이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned salbutamol.
none,tuning fork,소리굽쇠,검진용 굴대,의사의 문서에 검진용 굴대가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned tuning fork.
none,chest expiration,가슴 날숨촬영,흉부 만기,이 환자에게 흉부 만기가 수행되었습니다.,오답,-,,,[],stop,chest expiration was performed on this patient.
none,syphilogen,매독원,매독균,의사의 문서에 매독균이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned syphilogen.
none,ischial ramus,궁둥뼈가지,좌골지,의사의 문서에 좌골지가 언급되었다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned ischial ramus.
none,supraspinous,가시끝-,극상,의사의 문서에 극상이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned supraspinous.
none,intranasal ethmoidectomy,사골동염근치술; 비내 접근법,비내 내측두골절제술,의사의 문서에서 비내 내측두골절제술이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned intranasal ethmoidectomy.
none,breathing bag reservoir,호흡주머니,호흡백 저수조,의사의 문서에 호흡백 저수조가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned breathing bag reservoir.
none,growth fever,변증,성장열,이 보고서는 이 환자의 성장열을 문서화했다.,오답,-,,,[],stop,The report documented growth fever in this patient.
none,neurostearic acid,신경지방산,신경스테아르산,의사의 문서에 신경스테아르산이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned neurostearic acid.
none,operative ultrasound,수술중초음파검사,수술 중 초음파,의사의 문서에 수술 중 초음파가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned operative ultrasound.
none,abortive prophage,불완전프로파지,중단된 프로파지,의사의 문서에 중단된 프로파지가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned abortive prophage.
none,vetebra,척추,척추뼈,의사의 문서에 척추뼈가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned vetebra.
none,incisor tooth,절치,절치,의사의 문서에 절치가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned incisor tooth.
none,stump hallucination,절단끝환각,환지 환각,의사의 문서에 환지 환각이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned stump hallucination.
none,hyalomere,투명부위,히알로미어,의사의 문서에 히알로미어가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned hyalomere.
none,inspirator,흡입기,인스피레이터,의사의 문서에 인스피레이터가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned inspirator.
none,tense,긴장-,긴장,의사의 문서는 긴장을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned tense.
none,fluoridation,불소화,불소 첨가,의사의 문서는 불소 첨가에 대해 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned fluoridation.
none,varicose vein stripping,정맥류 제거,정맥류 박리술,보고서는 이 환자에서 정맥류 박리술을 기록했습니다.,오답,-,,,[],stop,The report documented varicose vein stripping in this patient.
none,urethrotomy,요도 절개,요도절개술,보고서는 이 환자에서 요도절개술을 기록했다.,오답,-,,,[],stop,The report documented urethrotomy in this patient.
none,virgin population,무노출인구,미개척 집단,의사의 문서는 미개척 집단을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned virgin population.
none,gracilis muscle,두덩정강근,내전근,의사의 문서에 내전근이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned gracilis muscle.
none,paraganglion,곁신경절,부신외측기관,의사의 문서에 부신외측기관이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned paraganglion.
none,hemianopsia,편측시야결손,편맹,의사의 문서에 편맹이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned hemianopsia.
none,relative scotoma,상대암점,상대적 암점,의사의 문서에 상대적 암점이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned relative scotoma.
none,ballism,도리깨질(증),발작성 무도증,의사의 문서에는 발작성 무도증이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned ballism.
none,tuberculosis of oesophagus,식도의 결핵,식도 결핵,보고서는 이 환자에게 식도 결핵이 있음을 문서화했다.,오답,-,,,[],stop,The report documented tuberculosis of oesophagus in this patient.
none,appendix ultrasound,맹장 초음파,충수돌기 초음파,의사의 문서에 충수돌기 초음파가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned appendix ultrasound.
none,kub left lateral,"콩팥요관방광촬영, 왼쪽측방향",kub left lateral,이 환자에게 kub left lateral이 시행되었습니다.,오답,-,,,['bad_chars'],stop,kub left lateral was performed on this patient.
none,menstrual irregularity,월경불규칙,월경 불순,보고서에는 이 환자에게 월경 불순이 있다고 기록되어 있다.,정답(동의어),nospace,,,[],stop,The report documented menstrual irregularity in this patient.
none,pressure suit,가압복,가압복,의사의 문서는 가압복을 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned pressure suit.
none,postprocedural subglottic stenosis,처치후 성문하협착,시술 후 성문하 협착증,보고서는 이 환자에서 시술 후 성문하 협착증을 기록하였다.,오답,-,,,[],stop,The report documented postprocedural subglottic stenosis in this patient.
none,puerperium,산후기,산욕기,의사의 문서에 산욕기가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned puerperium.
none,non-infected,감염되지않은,비감염,의사의 문서에 비감염이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned non-infected.
none,overdetermined idea,과잉결정관념,과잉결정된 관념,의사의 문서에 과잉결정된 관념이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned overdetermined idea.
none,agenesis of lung,폐의 무발생,폐 무발생,보고서는 이 환자에서 폐 무발생을 문서화했다.,오답,-,,,[],stop,The report documented agenesis of lung in this patient.
none,toilet,세척,화장실,의사의 문서에 화장실이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned toilet.
none,coxalgic pelvis,엉덩관절병골반,고관절통 골반,의사의 문서에 고관절통 골반이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned coxalgic pelvis.
none,clasp repair,클라스프 수리,체결장치 수리,의사의 서류에 체결장치 수리가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned clasp repair.
none,horseshoe fistula,말발굽샛길,편자형 누공,의사의 문서에 편자형 누공이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned horseshoe fistula.
none,taenia solium,유구조충,유구조충,의사의 문서에는 유구조충이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned taenia solium.
none,dermatitis verrucosa,사마귀피부염,사마귀모양 피부염,이 보고서는 이 환자에서 사마귀모양 피부염을 문서화했습니다.,오답,-,,,[],stop,The report documented dermatitis verrucosa in this patient.
none,expectorant mixture,복합거담제,거담제 혼합물,의사의 문서에 거담제 혼합물이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned expectorant mixture.
none,prescription group,처방묶음,처방군,의사의 문서에 처방군이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned prescription group.
none,progressive hemifacial atrophy,진행성 반쪽얼굴 위축,진행성 반측성 안면 위축,이 환자에게서 진행성 반측성 안면 위축을 보고하였다.,오답,-,,,[],stop,The report documented progressive hemifacial atrophy in this patient.
none,plain radiograph,단순방사선사진,단순 방사선 사진,의사의 문서는 단순 방사선 사진을 언급했습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned plain radiograph.
none,iridocyclitis in tuberculosis,결핵에서의 홍채섬모체염,결핵 홍채모양체염,보고서는 이 환자에서 결핵 홍채모양체염을 기록하였다.,오답,-,,,[],stop,The report documented iridocyclitis in tuberculosis in this patient.
none,uremic convulsion,요독경련,요독성 경련,의사의 문서에 요독성 경련이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned uremic convulsion.
none,ophthalmophacometer,수정체굴절력측정계,안구굴절력계,의사의 문서에 안구굴절력계가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned ophthalmophacometer.
none,reconstruction of thumb,엄지 손가락 재건,엄지 재건,이 보고서는 이 환자의 엄지 재건을 문서화했다.,오답,-,,,[],stop,The report documented reconstruction of thumb in this patient.
none,tetrastichiasis,네줄속눈썹(증),사행모증,의사의 문서에 사행모증이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned tetrastichiasis.
none,fundus photography,안저사진,안저 사진 촬영,보고서는 이 환자에서 안저 사진 촬영을 기록했다.,오답,-,,,[],stop,The report documented fundus photography in this patient.
none,rotalix tube,회전양극관,로탈릭스 튜브,의사의 문서에 로탈릭스 튜브가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned rotalix tube.
none,invasive mole,침윤기태,침윤성 포도,의사의 문서에서 침윤성 포도를 언급했다.,오답,-,,,[],stop,The doctor's document mentioned invasive mole.
none,ulcerated external hemorrhoids,궤양성 외치핵,궤양성 외치핵,이 환자에게 궤양성 외치핵이 있다고 보고서에 기록되어 있다.,정답(대표),exact,,,[],stop,The report documented ulcerated external hemorrhoids in this patient.
none,standardized rate ratio,표준화비율비,표준화된 비율비,의사의 문서에 표준화된 비율비가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned standardized rate ratio.
none,encephalopathy toxic,독성 뇌병증,독성 뇌증,의사의 문서에 독성 뇌증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned encephalopathy toxic.
none,teach personal care,개인간호 교육,자기 관리 교육,의사의 문서에 자기 관리 교육이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned teach personal care.
none,hydrocyst,물낭,수종,의사의 문서에 수종이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned hydrocyst.
none,muscular artery,근육형동맥,근육 동맥,의사의 문서에 근육 동맥이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned muscular artery.
none,ataxic hemiparesis,실조성반부전마비,실조성 편마비,의사의 문서에는 실조성 편마비가 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned ataxic hemiparesis.
none,mitokinetic,유사운동-,미토키네틱,의사의 문서에 미토키네틱이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned mitokinetic.
none,dementia in hypercalcaemia,과칼슘혈증에서의 치매,고칼슘혈증에서의 치매,이 보고서는 이 환자의 고칼슘혈증에서의 치매를 문서화했습니다.,정답(동의어),exact,,,[],stop,The report documented dementia in hypercalcaemia in this patient.
none,neurofibromatosis of spine,척수 신경섬유종증,척추 신경섬유종증,의사의 문서에 척추 신경섬유종증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned neurofibromatosis of spine.
none,amputation of cervix,자궁목 절단,자궁경부 절단술,이 환자에서 자궁경부 절단술을 기록했다.,오답,-,,,[],stop,The report documented amputation of cervix in this patient.
none,osteoarthritis,뼈관절염,골관절염,의사의 서류에 골관절염이 언급되었습니다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned osteoarthritis.
none,head wind,두풍 ; 뇌풍,역풍,이 환자에게서 역풍이 있음을 보고서에 기록했다.,오답,-,,,[],stop,The report documented head wind in this patient.
none,bovine granulomatous mastitis,소육아종 유방염,소 육아종성 유방염,의사의 문서에는 소 육아종성 유방염이 언급되어 있었습니다.,오답,-,,,[],stop,The doctor's document mentioned bovine granulomatous mastitis.
none,hand,수,손,의사의 문서에 손이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned hand.
none,idiopathic hemihypertrophy,특발성 편측비대증,특발성 반비대증,이 보고서는 이 환자에게 특발성 반비대증을 기록하였다.,오답,-,,,[],stop,The report documented idiopathic hemihypertrophy in this patient.
none,ileocolic artery,돌잘룩창자동맥,회결장동맥,의사의 문서에 회결장동맥이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned ileocolic artery.
none,nummular dermatitis,동전모양피부염,동전 모양 피부염,이 보고서는 이 환자에서 동전 모양 피부염을 기록했습니다.,정답(대표),nospace,,,[],stop,The report documented nummular dermatitis in this patient.
none,ecdysis,허물벗기,탈피,의사의 문서에 탈피가 언급되었다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned ecdysis.
none,congenital leukonychia,선천 손발톱백반,선천성 백색증,보고서는 이 환자에서 선천성 백색증을 기록했다.,오답,-,,,[],stop,The report documented congenital leukonychia in this patient.
none,total lipodystrophy,전체 지방영양장애,전신 지방이영양증,의사의 문서에 전신 지방이영양증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned total lipodystrophy.
none,near field potential,근접부위전위,근접장 전위,의사의 문서는 근접장 전위를 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned near field potential.
none,unequal limb length,사지길이부동증,팔다리 길이가 다름,의사의 서류에서는 팔다리 길이가 다름이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned unequal limb length.
none,drug induce pruritus,약물 유발성 가려움,약물 유발 가려움증,이 보고서는 이 환자에서 약물 유발 가려움증을 문서화했습니다.,오답,-,,,[],stop,The report documented drug induce pruritus in this patient.
none,saphenous neuropathy,복재신경병증,잠복신경병증,보고서는 이 환자에서 잠복신경병증을 기록했습니다.,오답,-,,,[],stop,The report documented saphenous neuropathy in this patient.
none,extra-abdominal,복부외-,복막 외,의사의 문서에 복막 외가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned extra-abdominal.
none,endolymphatic duct,속림프관,내림프관,의사의 문서에 내림프관이 언급되었다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned endolymphatic duct.
none,intra-operative neurophysiologic testing,수술중 신경생리학적 검사,수술 중 신경생리학적 검사,이 환자에서 수술 중 신경생리학적 검사를 시행하였음을 보고서에 기록하였다.,정답(대표),nospace,,,[],stop,The report documented intra-operative neurophysiologic testing in this patient.
none,hammerhead ribozyme,망치머리형리보자임,해머헤드 리보자임,의사의 문서에서 해머헤드 리보자임을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned hammerhead ribozyme.
none,photogene,잔상,광유전자,의사의 문서가 광유전자를 언급했다.,오답,-,,,[],stop,The doctor's document mentioned photogene.
none,hot bag,더운물 주머니,핫백,이 환자에게서 핫백을 문서화했다는 보고서가 있었다.,오답,-,,,[],stop,The report documented hot bag in this patient.
none,bougienage of esophagus,식도 부우지법,식도 부지에술,이 보고서는 이 환자에서 식도 부지에술을 기록했습니다.,오답,-,,,[],stop,The report documented bougienage of esophagus in this patient.
none,oculovagal reflex,눈미주신경반사,안구미주신경반사,의사의 문서에 안구미주신경반사가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned oculovagal reflex.
none,physically handicapped,거동불편자,신체 장애,의사의 서류에는 신체 장애가 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned physically handicapped.
none,morbidity aspects,질병 양상,이환 측면,의사의 문서는 이환 측면을 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned morbidity aspects.
none,auriculotemporal nerve,귓바퀴관자신경,귀관자신경,의사의 문서에 귀관자신경이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned auriculotemporal nerve.
none,perseveration,고집증,지속 반복어,의사의 문서에 지속 반복어가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned perseveration.
none,purpura annularis telangiectodes,고리모세혈관확장자색반,자반성 모세혈관확장성 고리홍반,의사의 문서에는 자반성 모세혈관확장성 고리홍반이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned purpura annularis telangiectodes.
none,endoscopic retrograde pancreatography,내시경역행이자관조영(술),내시경적 역행 췌장조영술,보고서는 이 환자에서 내시경적 역행 췌장조영술을 기록했다.,오답,-,,,[],stop,The report documented endoscopic retrograde pancreatography in this patient.
none,leukotaxis,백혈구쏠림성,백혈구주성,의사의 문서에 백혈구주성이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned leukotaxis.
none,myoalbumin,근(육)알부민,마이오알부민,의사의 문서에 마이오알부민이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned myoalbumin.
none,urethroscopic surgery,요도경하 수술,요도경 수술,이 환자에서 요도경 수술을 문서화했다.,오답,-,,,[],stop,The report documented urethroscopic surgery in this patient.
none,hippocampal sclerosis,해마경화(증),해마 경화증,이 보고서는 이 환자에서 해마 경화증을 기록했다.,오답,-,,,[],stop,The report documented hippocampal sclerosis in this patient.
none,excitometabolic,대사촉진-,흥분대사,의사의 문서에 흥분대사가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned excitometabolic.
none,bronchus t-tube insertion,기관지 T-삽관,기관지 T-튜브 삽입,이 보고서는 이 환자에서 기관지 T-튜브 삽입을 기록했습니다.,오답,-,,,['bad_chars'],stop,The report documented bronchus t-tube insertion in this patient.
none,lead gown,납가운,납 가운,의사의 문서에 납 가운이 언급되었다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned lead gown.
none,flat position,앙와위,평면위,의사의 문서에 평면위가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned flat position.
none,bubbling rale,끓는거품소리,수포음,의사의 문서에는 수포음이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned bubbling rale.
